id,class,method,name,description
150,android.provider.Contacts,queryGroups,APIChecker-Restricted API,Not Found in API 25
151,android.telephony.SubscriptionManager,getActiveSubscriptionInfo,APIChecker-Restricted API,
152,android.telephony.TelephonyManager,getVoiceMailNumber,APIChecker-Restricted API,
153,android.hardware.Camera,open,APIChecker-Restricted API,
154,android.provider.ContactsContract,newSetOperation,APIChecker-Restricted API,Not Found in API 25
155,android.telephony.TelephonyManager,getAllCellInfo,APIChecker-Restricted API,
156,android.provider.Browser,clearSearches,APIChecker-Restricted API,
157,android.telephony.TelephonyManager,getVoiceMailAlphaTag,APIChecker-Restricted API,
158,android.telephony.gsm.SmsManager,divideMessage,APIChecker-Restricted API,
159,android.inputmethodservice.KeyboardView,swipeDown,APIChecker-Restricted API,
160,android.net.sip.SipManager,isOpened,APIChecker-Restricted API,
161,android.location.LocationManager,isProviderEnabled,APIChecker-Restricted API,
162,android.telephony.gsm.SmsManager,sendMultipartTextMessage,APIChecker-Restricted API,
163,android.net.sip.SipManager,getSessionFor,APIChecker-Restricted API,
164,android.telephony.TelephonyManager,getDeviceId,APIChecker-Restricted API,
165,android.telephony.TelephonyManager,getNeighboringCellInfo,APIChecker-Restricted API,
166,android.telephony.TelephonyManager,listen,APIChecker-Restricted API,
167,android.media.MediaRecorder,setAudioSource,APIChecker-Restricted API,
168,android.speech.SpeechRecognizer,stopListening,APIChecker-Restricted API,
169,android.location.LocationManager,addProximityAlert,APIChecker-Restricted API,
170,android.provider.CalendarContract,query,APIChecker-Restricted API,Not Found in API 25
171,android.provider.Contacts,getSetting,APIChecker-Restricted API,Not Found in API 25
172,android.accounts.AccountManager,updateCredentials,APIChecker-Restricted API,
173,android.accounts.AccountManager,removeAccount,APIChecker-Restricted API,
174,android.provider.CalendarContract,insert,APIChecker-Restricted API,Not Found in API 25
175,android.accounts.AccountManager,addOnAccountsUpdatedListener,APIChecker-Restricted API,
176,android.telephony.SmsManager,downloadMultimediaMessage,APIChecker-Restricted API,
177,android.telecom.TelecomManager,isInCall,APIChecker-Restricted API,
178,android.telephony.SubscriptionManager,getActiveSubscriptionInfoForSimSlotIndex,APIChecker-Restricted API,
179,android.net.sip.SipManager,takeAudioCall,APIChecker-Restricted API,
180,android.location.LocationManager,requestSingleUpdate,APIChecker-Restricted API,
181,android.telephony.SubscriptionManager,getActiveSubscriptionInfoCount,APIChecker-Restricted API,
182,android.telephony.SmsManager,sendTextMessage,APIChecker-Restricted API,
183,android.net.sip.SipManager,makeAudioCall,APIChecker-Restricted API,
184,android.provider.Browser,clearHistory,APIChecker-Restricted API,
185,android.net.sip.SipManager,setRegistrationListener,APIChecker-Restricted API,
186,android.accounts.AccountManager,getAccountsByTypeAndFeatures,APIChecker-Restricted API,
187,android.telephony.SmsManager,sendMultimediaMessage,APIChecker-Restricted API,
188,android.speech.SpeechRecognizer,setRecognitionListener,APIChecker-Restricted API,
189,android.provider.ContactsContract,get,APIChecker-Restricted API,Not Found in API 25
190,android.provider.VoicemailContract,buildSourceUri,APIChecker-Restricted API,Not Found in API 25
191,android.telephony.SubscriptionManager,getActiveSubscriptionInfoList,APIChecker-Restricted API,
192,android.speech.SpeechRecognizer,startListening,APIChecker-Restricted API,
193,android.widget.QuickContactBadge,onClick,APIChecker-Restricted API,
194,android.net.sip.SipManager,isRegistered,APIChecker-Restricted API,
195,android.provider.Contacts,createPersonInMyContactsGroup,APIChecker-Restricted API,Not Found in API 25
196,android.telephony.gsm.SmsManager,sendDataMessage,APIChecker-Restricted API,
197,android.accounts.AccountManager,getAccountsByType,APIChecker-Restricted API,
198,android.provider.Contacts,addToMyContactsGroup,APIChecker-Restricted API,Not Found in API 25
199,android.location.LocationManager,getProviders,APIChecker-Restricted API,
200,android.provider.CallLog,getLastOutgoingCall,APIChecker-Restricted API,Not Found in API 25
201,android.accounts.AccountManager,confirmCredentials,APIChecker-Restricted API,
202,android.accounts.AccountManager,getAuthTokenByFeatures,APIChecker-Restricted API,
203,android.telecom.TelecomManager,showInCallScreen,APIChecker-Restricted API,
204,android.telephony.TelephonyManager,getSimSerialNumber,APIChecker-Restricted API,
205,android.view.inputmethod.InputMethodManager,showInputMethodAndSubtypeEnabler,APIChecker-Restricted API,
206,android.widget.QuickContactBadge,assignContactFromPhone,APIChecker-Restricted API,
207,android.provider.ContactsContract,getWithUri,APIChecker-Restricted API,Not Found in API 25
208,android.inputmethodservice.KeyboardView,swipeRight,APIChecker-Restricted API,
209,android.media.AudioRecord,AudioRecord,APIChecker-Restricted API,Not Found in API 25
210,android.provider.Contacts,addToGroup,APIChecker-Restricted API,Not Found in API 25
211,android.telephony.TelephonyManager,getLine1Number,APIChecker-Restricted API,
212,android.provider.ContactsContract,getLookupUri,APIChecker-Restricted API,Not Found in API 25
213,android.app.DownloadManager,addCompletedDownload,APIChecker-Restricted API,
214,android.provider.Contacts,addPostalLocation,APIChecker-Restricted API,Not Found in API 25
215,android.telephony.SmsManager,sendDataMessage,APIChecker-Restricted API,
216,android.location.LocationManager,getLastKnownLocation,APIChecker-Restricted API,
217,java.lang.Runtime,getRuntime,APIChecker-Sensitive Operation API,
218,java.lang.Runtime,exec,APIChecker-Sensitive Operation API,duplicate api
219,java.lang.ProcessBuilder,start,APIChecker-Sensitive Operation API,duplicate api
220,java.lang.Runtime,load,APIChecker-Sensitive Operation API,duplicate api
221,java.lang.Runtime,loadLibrary,APIChecker-Sensitive Operation API,duplicate api
222,android.os.Environment,getDataDirectory,APIChecker-Sensitive Operation API,
223,android.os.Environment,getDownloadCacheDirectory,APIChecker-Sensitive Operation API,
224,android.os.Environment,getExternalStorageDirectory,APIChecker-Sensitive Operation API,
225,android.os.Environment,getExternalStoragePublicDirectory,APIChecker-Sensitive Operation API,
226,android.os.Environment,getRootDirectory,APIChecker-Sensitive Operation API,
227,android.os.storage.StorageManager,getPrimaryStorageVolume,APIChecker-Sensitive Operation API,
228,android.os.storage.StorageManager,getStorageVolumes,APIChecker-Sensitive Operation API,
229,java.io.File,createNewFile,APIChecker-Sensitive Operation API,
230,java.io.File,delete,APIChecker-Sensitive Operation API,
231,java.io.File,listFiles,APIChecker-Sensitive Operation API,
232,java.io.File,list,APIChecker-Sensitive Operation API,
233,java.io.File,mkdir,APIChecker-Sensitive Operation API,
234,java.io.File,renameTo,APIChecker-Sensitive Operation API,
235,java.io.FileWriter,write,APIChecker-Sensitive Operation API,
236,java.io.FileOutputStream,write,APIChecker-Sensitive Operation API,
237,android.database.sqlite.SQLiteDatabase,create,APIChecker-Sensitive Operation API,duplicate api
238,android.database.sqlite.SQLiteDatabase,delete,APIChecker-Sensitive Operation API,
239,android.database.sqlite.SQLiteDatabase,deleteDatabase,APIChecker-Sensitive Operation API,duplicate api
240,android.database.sqlite.SQLiteDatabase,execSQL,APIChecker-Sensitive Operation API,duplicate api
241,android.database.sqlite.SQLiteDatabase,insert,APIChecker-Sensitive Operation API,duplicate api
242,android.database.sqlite.SQLiteDatabase,insertWithOnConflict,APIChecker-Sensitive Operation API,duplicate api
243,android.database.sqlite.SQLiteDatabase,query,APIChecker-Sensitive Operation API,duplicate api
244,android.database.sqlite.SQLiteDatabase,rawQuery,APIChecker-Sensitive Operation API,duplicate api
245,android.database.sqlite.SQLiteDatabase,updateWithOnConflict,APIChecker-Sensitive Operation API,duplicate api
246,android.database.sqlite.SQLiteDatabase,update,APIChecker-Sensitive Operation API,duplicate api
247,android.database.sqlite.SQLiteOpenHelper,SQLiteOpenHelper,APIChecker-Sensitive Operation API,
248,java.net.URLConnection,connect,APIChecker-Sensitive Operation API,
249,java.net.HttpURLConnection,connect,APIChecker-Sensitive Operation API,
250,java.net.Socket,connect,APIChecker-Sensitive Operation API,
251,android.os.PowerManager,newWakeLock,APIChecker-Sensitive Operation API,
252,android.content.Context,startService,APIChecker-Sensitive Operation API,
253,android.content.Context,stopService,APIChecker-Sensitive Operation API,
254,android.content.Context,bindService,APIChecker-Sensitive Operation API,
255,android.app.ActivityManager,getRunningTasks,APIChecker-Sensitive Operation API,
256,android.app.ActivityManager,getRunningServices,APIChecker-Sensitive Operation API,
257,android.app.ActivityManager,killBackgroundProcesses,APIChecker-Sensitive Operation API,duplicate api
258,android.app.ActivityManager,getRunningAppProcesses,APIChecker-Sensitive Operation API,
259,android.content.Context,startActivity,APIChecker-Sensitive Operation API,
260,android.content.Context,sendBroadcast,APIChecker-Sensitive Operation API,
261,android.content.Context,registerReceiver,APIChecker-Sensitive Operation API,
262,android.content.BroadcastReceiver,abortBroadcast,APIChecker-Sensitive Operation API,duplicate api
263,java.lang.Class,forName,APIChecker-Sensitive Operation API,
264,java.lang.Class,getDeclaredMethod,APIChecker-Sensitive Operation API,
265,java.lang.Class,getDeclaredMethods,APIChecker-Sensitive Operation API,
266,java.lang.Class,getDeclaredField,APIChecker-Sensitive Operation API,
267,java.lang.reflect.Method,invoke,APIChecker-Sensitive Operation API,
268,java.lang.reflect.Proxy,newProxyInstance,APIChecker-Sensitive Operation API,
269,android.view.ViewManager,addView,APIChecker-Sensitive Operation API,
270,android.view.ViewManager,removeView,APIChecker-Sensitive Operation API,
271,android.view.ViewGroup,addView,APIChecker-Sensitive Operation API,
272,android.widget.TextView,setText,APIChecker-Sensitive Operation API,
273,android.app.AlertDialog,AlertDialog,APIChecker-Sensitive Operation API,
274,android.view.WindowManager,aadView,APIChecker-Sensitive Operation API,
275,android.util.Base64,encode,APIChecker-Sensitive Operation API,duplicate api
276,android.util.Base64,decode,APIChecker-Sensitive Operation API,duplicate api
277,javax.crypto.Cipher,doFinal,APIChecker-Sensitive Operation API,duplicate api
278,javax.crypto.Cipher,getInstance,APIChecker-Sensitive Operation API,
279,javax.crypto.Cipher,init,APIChecker-Sensitive Operation API,
280,javax.crypto.spec.SecretKeySpec,SecretKeySpec,APIChecker-Sensitive Operation API,
281,java.lang.ClassLoader,ClassLoader,APIChecker-Sensitive Operation API,
282,dalvik.system.BaseDexClassLoader,BaseDexClassLoader,APIChecker-Sensitive Operation API,
283,dalvik.system.PathClassLoader,PathClassLoader,APIChecker-Sensitive Operation API,
284,dalvik.system.DexClassLoader,DexClassLoader,APIChecker-Sensitive Operation API,
285,dalvik.system.DexFile,DexFile,APIChecker-Sensitive Operation API,
286,dalvik.system.InMemoryDexClassLoader,InMemoryDexClassLoader,APIChecker-Sensitive Operation API,
287,android.app.Activity,setShowWhenLocked,Diff OS API,
288,android.app.Service,onStartCommand,Diff OS API,
289,android.content.ContextWrapper,sendBroadcast,Diff OS API,duplicate api
290,android.content.ContextWrapper,sendBroadcastAsUser,Diff OS API,
291,android.content.ContextWrapper,sendOrderedBroadcast,Diff OS API,
292,android.content.ContextWrapper,sendOrderedBroadcastAsUser,Diff OS API,
293,android.hardware.camera2.CameraManager,openCamera,Diff OS API,
294,android.location.LocationManager,registerGnssStatusCallback,Diff OS API,
295,android.net.ConnectivityManager.NetworkCallback,NetworkCallback,Diff OS API,
296,android.net.ConnectivityManager,registerDefaultNetworkCallback,Diff OS API,
297,android.net.ConnectivityManager,registerNetworkCallback,Diff OS API,
298,android.net.SSLCertificateSocketFactory,getDefault,Diff OS API,
299,android.content.ContentResolver,insert,Diff OS API,duplicate api
300,android.content.ContentResolver,query,Diff OS API,duplicate api
301,android.provider.VoicemailContract.Voicemails,buildSourceUri,Diff OS API,
302,android.telephony.TelephonyManager,getAllCellInfo,Diff OS API,duplicate api
303,android.telephony.TelephonyManager,getImei,Diff OS API,
304,android.telephony.TelephonyManager,getMeid,Diff OS API,
305,android.webkit.CookieManager,removeAllCookies,Diff OS API,
306,dalvik.system.PathClassLoader,PathClassLoader,Diff OS API,
307,org.apache.http.params.HttpConnectionParams,setStaleCheckingEnabled,Diff OS API,old api
308,java.net.URL,openConnection,Diff OS API,duplicate api
309,org.apache.http.params.HttpParams,setIntParameter,Diff OS API,old api
310,java.net.URLConnection,setConnectTimeout,Diff OS API,
311,java.net.URLConnection,setReadTimeout,Diff OS API,
