id,method,effect
46,android.content.pm.PackageManager#getInstalledPackages,获取已安装包信息
47,android.content.pm.PackageManager#getInstallerPackageName,获取应用的安装来源
48,android.net.wifi.WifiInfo#getBSSID,获取当前Wi-Fi的BSSID
49,android.net.wifi.WifiInfo#getIpAddress,获取设备的IP地址
50,android.net.wifi.WifiInfo#getMacAddress,获取设备的MAC地址
51,android.net.wifi.WifiInfo#getNetworkId,获取Wi-Fi网络ID
52,android.os.Debug#isDebuggerConnected,检查调试器是否连接
53,android.telephony.TelephonyManager#getDeviceId,获取设备唯一标识（如IMEI）
54,android.telephony.TelephonyManager#getDeviceSoftwareVersion,获取设备软件版本
55,android.telephony.TelephonyManager#getLine1Number,获取手机号码
56,android.telephony.TelephonyManager#getNetworkCountryIso,获取网络国家代码
57,android.telephony.TelephonyManager#getNetworkOperator,获取网络运营商代码
58,android.telephony.TelephonyManager#getNetworkOperatorName,获取网络运营商名称
59,android.telephony.TelephonyManager#getSimCountryIso,获取SIM卡国家代码
60,android.telephony.TelephonyManager#getSimOperatorName,获取SIM卡运营商名称
61,android.telephony.TelephonyManager#getSimSerialNumber,获取SIM卡序列号
62,android.telephony.TelephonyManager#getSubscriberId,获取用户标识（如IMSI）
63,dalvik.system.BaseDexClassLoader#findLibrary,查找本地库文件
64,dalvik.system.BaseDexClassLoader#findResource,查找资源
65,dalvik.system.BaseDexClassLoader#findResources,查找多个资源
66,dalvik.system.DexClassLoader#$init,初始化DexClassLoader
67,dalvik.system.DexFile#loadClass,加载Dex文件中的类
68,dalvik.system.DexFile#loadDex,加载Dex文件
69,android.content.ContextWrapper#deleteFile,删除应用私有文件
70,android.content.ContextWrapper#openFileInput,打开文件输入流
71,android.content.ContextWrapper#openFileOutput,打开文件输出流
72,libcore.io.IoBridge#open,底层文件打开操作
73,android.content.ContextWrapper#registerReceiver,注册广播接收器（上下文包装）
74,android.content.ContextWrapper#sendBroadcast,发送广播
75,android.content.ContextWrapper#sendStickyBroadcast,发送粘性广播
76,android.content.ContextWrapper#startActivity,启动Activity（上下文包装）
77,android.content.ContextWrapper#startService,启动服务
78,android.content.ContextWrapper#stopService,停止服务
79,java.lang.Runtime#load,加载动态库
80,java.lang.Runtime#loadLibrary,加载系统库
81,com.android.okhttp.internal.http.HttpURLConnectionImpl#getInputStream,获取HTTP输入流（API 25不支持）
82,com.android.okhttp.internal.huc.HttpURLConnectionImpl#getInputStream,获取HTTP输入流
83,java.net.URL#openConnection,创建URL连接
84,org.apache.http.impl.client.AbstractHttpClient#execute,执行HTTP请求（旧版API）
85,android.app.ActivityManager#killBackgroundProcesses,终止后台进程
86,android.os.Process#killProcess,终止指定进程
87,android.os.Process#start,启动新进程
88,android.telephony.SmsManager#sendMultipartTextMessage,发送多部分短信
89,android.telephony.SmsManager#sendTextMessage,发送文本短信
90,android.app.ApplicationPackageManager#setComponentEnabledSetting,启用或禁用组件
91,android.app.NotificationManager#notify,发送通知
92,android.content.BroadcastReceiver#abortBroadcast,终止有序广播
93,android.telephony.TelephonyManager#listen,监听电话状态变化
94,android.webkit.WebView#addJavascriptInterface,添加JS与Java交互接口
95,android.webkit.WebView#evaluateJavascript,执行JavaScript代码
96,android.webkit.WebView#getHttpAuthUsernamePassword,获取HTTP认证凭据
97,android.webkit.WebView#loadData,加载HTML数据
98,android.webkit.WebView#loadDataWithBaseURL,基于URL加载HTML数据
99,android.webkit.WebView#loadUrl,加载URL内容
100,android.webkit.WebView#postUrl,POST方式加载URL
101,android.webkit.WebView#postWebMessage,发送Web消息
102,android.webkit.WebView#savePassword,保存密码（已废弃）
103,android.webkit.WebView#setHttpAuthUsernamePassword,设置HTTP认证凭据
104,android.webkit.WebView#setWebContentsDebuggingEnabled,启用Web内容调试
105,android.provider.ContactsContract#set,操作联系人数据（API 25不支持）
106,android.provider.Browser#updateVisitedHistory,更新浏览器历史记录
107,android.location.LocationManager#sendExtraCommand,发送定位相关扩展命令
108,android.provider.Browser#addSearchUrl,添加搜索URL到浏览器历史
109,android.location.LocationManager#requestLocationUpdates,请求位置更新
110,android.net.sip.SipManager#createSipSession,创建SIP会话
111,android.location.LocationManager#addNmeaListener,添加NMEA数据监听
112,android.telephony.SmsManager#divideMessage,分割长短信
113,android.net.sip.SipManager#register,注册SIP账户
114,android.location.LocationManager#getProvider,获取定位提供器
115,android.telephony.TelephonyManager#getCellLocation,获取蜂窝网络位置
116,android.provider.ContactsContract#getContactLookupUri,获取联系人URI（API 25不支持）
117,android.telephony.TelephonyManager#getDeviceSoftwareVersion,获取设备软件版本（重复）
118,android.app.DownloadManager#getUriForDownloadedFile,获取下载文件的URI
119,android.provider.Browser#deleteHistoryTimeFrame,按时间段删除浏览器历史
120,android.telephony.PhoneNumberUtils#isVoiceMailNumber,检查是否为语音信箱号码
121,android.speech.SpeechRecognizer#cancel,取消语音识别
122,android.provider.ContactsContract#markAsContacted,标记联系人为已联系（API 25不支持）
123,android.telephony.TelephonyManager#getSubscriberId,获取用户标识（如IMSI，重复）
124,android.telephony.gsm.SmsManager#sendTextMessage,发送文本短信（旧版API）
125,android.telephony.TelephonyManager#getGroupIdLevel1,获取SIM卡组ID
126,android.provider.ContactsContract#notifyDirectoryChange,通知目录变更（API 25不支持）
127,android.provider.Contacts#setSetting,设置联系人配置（API 25不支持）
128,android.accounts.AccountManager#editProperties,编辑账户属性
129,android.widget.QuickContactBadge#assignContactFromEmail,通过邮箱分配联系人
130,android.net.sip.SipManager#open,打开SIP管理器
131,android.accounts.AccountManager#addAccount,添加账户
132,android.provider.Contacts#markAsContacted,标记联系人为已联系（API 25不支持，重复）
133,android.provider.Browser#deleteFromHistory,从浏览器历史中删除条目
134,android.accounts.AccountManager#blockingGetAuthToken,阻塞获取认证令牌
135,android.app.DownloadManager#enqueue,将下载请求加入队列
136,android.net.ConnectivityManager#startUsingNetworkFeature,启用网络功能
137,android.telephony.SubscriptionManager#addOnSubscriptionsChangedListener,订阅订阅信息变更
138,android.location.LocationManager#getBestProvider,获取最佳定位提供器
139,android.accounts.AccountManager#hasFeatures,检查账户是否支持特定功能
140,android.accounts.AccountManager#getAccounts,获取所有账户（重复）
141,android.telephony.SmsManager#sendMultipartTextMessage,发送多部分短信（重复）
142,android.accounts.AccountManager#getAuthToken,获取认证令牌
143,android.provider.Browser#truncateHistory,截断浏览器历史
144,android.net.sip.SipManager#close,关闭SIP管理器
145,android.net.sip.SipManager#unregister,注销SIP账户
146,android.app.KeyguardManager#exitKeyguardSecurely,安全退出锁屏界面（已废弃）
147,android.accounts.AccountManager#getAuthTokenLabel,获取认证令牌标签
148,android.location.LocationManager#addGpsStatusListener,添加GPS状态监听
149,android.media.MediaRecorder#setVideoSource,设置视频源
150,android.provider.Contacts#queryGroups,查询联系人组（API 25不支持）
151,android.telephony.SubscriptionManager#getActiveSubscriptionInfo,获取活跃订阅信息
152,android.telephony.TelephonyManager#getVoiceMailNumber,获取语音信箱号码
153,android.hardware.Camera#open,打开摄像头（旧版API）
154,android.provider.ContactsContract#newSetOperation,创建新联系人集合操作（API 25不支持）
155,android.telephony.TelephonyManager#getAllCellInfo,获取所有蜂窝网络信息
156,android.provider.Browser#clearSearches,清除浏览器搜索记录
157,android.telephony.TelephonyManager#getVoiceMailAlphaTag,获取语音信箱标签
158,android.telephony.gsm.SmsManager#divideMessage,分割长短信（旧版API，重复）
159,android.inputmethodservice.KeyboardView#swipeDown,处理键盘向下滑动手势
160,android.net.sip.SipManager#isOpened,检查SIP管理器是否打开
161,android.location.LocationManager#isProviderEnabled,检查定位提供器是否启用
162,android.telephony.gsm.SmsManager#sendMultipartTextMessage,发送多部分短信（旧版API，重复）
163,android.net.sip.SipManager#getSessionFor,获取指定SIP会话
164,android.telephony.TelephonyManager#getDeviceId,获取设备唯一标识（重复）
165,android.telephony.TelephonyManager#getNeighboringCellInfo,获取邻近蜂窝网络信息
166,android.telephony.TelephonyManager#listen,监听电话状态（重复）
167,android.media.MediaRecorder#setAudioSource,设置音频源
168,android.speech.SpeechRecognizer#stopListening,停止语音识别监听
169,android.location.LocationManager#addProximityAlert,添加接近警报
170,android.provider.CalendarContract#query,查询日历数据（API 25不支持）
171,android.provider.Contacts#getSetting,获取联系人配置（API 25不支持）
172,android.accounts.AccountManager#updateCredentials,更新账户凭据
173,android.accounts.AccountManager#removeAccount,移除账户
174,android.provider.CalendarContract#insert,插入日历数据（API 25不支持）
175,android.accounts.AccountManager#addOnAccountsUpdatedListener,添加账户更新监听
176,android.telephony.SmsManager#downloadMultimediaMessage,下载彩信
177,android.telecom.TelecomManager#isInCall,检查是否在通话中
178,android.telephony.SubscriptionManager#getActiveSubscriptionInfoForSimSlotIndex,按SIM卡槽获取订阅信息
179,android.net.sip.SipManager#takeAudioCall,接听音频通话
180,android.location.LocationManager#requestSingleUpdate,请求单次位置更新
181,android.telephony.SubscriptionManager#getActiveSubscriptionInfoCount,获取活跃订阅数量
182,android.telephony.SmsManager#sendTextMessage,发送文本短信（重复）
183,android.net.sip.SipManager#makeAudioCall,发起音频通话
184,android.provider.Browser#clearHistory,清除浏览器历史
185,android.net.sip.SipManager#setRegistrationListener,设置SIP注册监听
186,android.accounts.AccountManager#getAccountsByTypeAndFeatures,按类型和特性获取账户
187,android.telephony.SmsManager#sendMultimediaMessage,发送彩信
188,android.speech.SpeechRecognizer#setRecognitionListener,设置语音识别监听器
189,android.provider.ContactsContract#get,获取联系人数据（API 25不支持）
190,android.provider.VoicemailContract#buildSourceUri,构建语音邮件源URI（API 25不支持）
191,android.telephony.SubscriptionManager#getActiveSubscriptionInfoList,获取所有活跃订阅信息
192,android.speech.SpeechRecognizer#startListening,开始语音识别监听
193,android.widget.QuickContactBadge#onClick,处理QuickContact徽章点击事件
194,android.net.sip.SipManager#isRegistered,检查SIP账户是否已注册
195,android.provider.Contacts#createPersonInMyContactsGroup,在“我的联系人”组创建条目（API 25不支持）
196,android.telephony.gsm.SmsManager#sendDataMessage,发送数据短信
197,android.accounts.AccountManager#getAccountsByType,按类型获取账户（重复）
198,android.provider.Contacts#addToMyContactsGroup,添加到“我的联系人”组（API 25不支持）
199,android.location.LocationManager#getProviders,获取所有定位提供器
200,android.provider.CallLog#getLastOutgoingCall,获取最后拨出电话（API 25不支持）
201,android.accounts.AccountManager#confirmCredentials,确认账户凭据
202,android.accounts.AccountManager#getAuthTokenByFeatures,按特性获取认证令牌
203,android.telecom.TelecomManager#showInCallScreen,显示通话界面
204,android.telephony.TelephonyManager#getSimSerialNumber,获取SIM卡序列号（重复）
205,android.view.inputmethod.InputMethodManager#showInputMethodAndSubtypeEnabler,显示输入法选择界面
206,android.widget.QuickContactBadge#assignContactFromPhone,通过电话号码分配联系人
207,android.provider.ContactsContract#getWithUri,通过URI获取联系人（API 25不支持）
208,android.inputmethodservice.KeyboardView#swipeRight,处理键盘向右滑动手势
209,android.media.AudioRecord#AudioRecord,初始化音频录制对象（API 25不支持）
210,android.provider.Contacts#addToGroup,添加联系人群组（API 25不支持）
211,android.telephony.TelephonyManager#getLine1Number,获取手机号码（重复）
212,android.provider.ContactsContract#getLookupUri,获取联系人查询URI（API 25不支持）
213,android.app.DownloadManager#addCompletedDownload,添加已完成下载记录
214,android.provider.Contacts#addPostalLocation,添加联系人邮政地址（API 25不支持）
215,android.telephony.SmsManager#sendDataMessage,发送数据短信（重复）
216,android.location.LocationManager#getLastKnownLocation,获取最后已知位置
217,java.lang.Runtime#getRuntime,获取Runtime单例实例
218,java.lang.Runtime#exec,执行系统命令（重复）
219,java.lang.ProcessBuilder#start,启动进程（重复）
220,java.lang.Runtime#load,加载动态库（重复）
221,java.lang.Runtime#loadLibrary,加载系统库（重复）
222,android.os.Environment#getDataDirectory,获取应用数据目录路径
223,android.os.Environment#getDownloadCacheDirectory,获取下载缓存目录路径
224,android.os.Environment#getExternalStorageDirectory,获取外部存储根目录
225,android.os.Environment#getExternalStoragePublicDirectory,获取公共外部存储目录
226,android.os.Environment#getRootDirectory,获取系统根目录
227,android.os.storage.StorageManager#getPrimaryStorageVolume,获取主存储卷信息
228,android.os.storage.StorageManager#getStorageVolumes,获取所有存储卷信息
229,java.io.File#createNewFile,创建新文件
230,java.io.File#delete,删除文件或目录
231,java.io.File#listFiles,列出目录下的文件
232,java.io.File#list,列出目录下的文件名
233,java.io.File#mkdir,创建目录
234,java.io.File#renameTo,重命名文件或目录
235,java.io.FileWriter#write,写入字符到文件
236,java.io.FileOutputStream#write,写入字节到文件
237,android.database.sqlite.SQLiteDatabase#create,创建数据库（重复）
238,android.database.sqlite.SQLiteDatabase#delete,删除表中数据
239,android.database.sqlite.SQLiteDatabase#deleteDatabase,删除数据库（重复）
240,android.database.sqlite.SQLiteDatabase#execSQL,执行SQL语句（重复）
241,android.database.sqlite.SQLiteDatabase#insert,插入数据（重复）
242,android.database.sqlite.SQLiteDatabase#insertWithOnConflict,带冲突策略插入（重复）
243,android.database.sqlite.SQLiteDatabase#query,查询数据（重复）
244,android.database.sqlite.SQLiteDatabase#rawQuery,原始查询（重复）
245,android.database.sqlite.SQLiteDatabase#updateWithOnConflict,带冲突策略更新（重复）
246,android.database.sqlite.SQLiteDatabase#update,更新数据（重复）
247,android.database.sqlite.SQLiteOpenHelper#SQLiteOpenHelper,初始化SQLiteOpenHelper
248,java.net.URLConnection#connect,建立URL连接
249,java.net.HttpURLConnection#connect,建立HTTP连接
250,java.net.Socket#connect,建立Socket连接
251,android.os.PowerManager#newWakeLock,创建唤醒锁
252,android.content.Context#startService,启动服务（上下文）
253,android.content.Context#stopService,停止服务（上下文）
254,android.content.Context#bindService,绑定服务
255,android.app.ActivityManager#getRunningTasks,获取正在运行的任务
256,android.app.ActivityManager#getRunningServices,获取正在运行的服务
257,android.app.ActivityManager#killBackgroundProcesses,终止后台进程（重复）
258,android.app.ActivityManager#getRunningAppProcesses,获取正在运行的进程
259,android.content.Context#startActivity,启动Activity（上下文）
260,android.content.Context#sendBroadcast,发送广播（上下文）
261,android.content.Context#registerReceiver,注册广播接收器（上下文）
262,android.content.BroadcastReceiver#abortBroadcast,终止广播（重复）
263,java.lang.Class#forName,动态加载类
264,java.lang.Class#getDeclaredMethod,获取类声明的指定方法
265,java.lang.Class#getDeclaredMethods,获取类声明的所有方法
266,java.lang.Class#getDeclaredField,获取类声明的指定字段
267,java.lang.reflect.Method#invoke,反射调用方法
268,java.lang.reflect.Proxy#newProxyInstance,创建动态代理实例
269,android.view.ViewManager#addView,添加视图到界面
270,android.view.ViewManager#removeView,从界面移除视图
271,android.view.ViewGroup#addView,向视图组添加子视图
272,android.widget.TextView#setText,设置文本内容
273,android.app.AlertDialog#AlertDialog,创建警告对话框
274,android.view.WindowManager#aadView,拼写错误（应为addView）
275,android.util.Base64#encode,Base64编码（重复）
276,android.util.Base64#decode,Base64解码（重复）
277,javax.crypto.Cipher#doFinal,完成加密或解密（重复）
278,javax.crypto.Cipher#getInstance,获取Cipher实例
279,javax.crypto.Cipher#init,初始化Cipher
280,javax.crypto.spec.SecretKeySpec#SecretKeySpec,构造密钥规范对象
281,java.lang.ClassLoader#ClassLoader,初始化类加载器
282,dalvik.system.BaseDexClassLoader#BaseDexClassLoader,初始化BaseDexClassLoader
283,dalvik.system.PathClassLoader#PathClassLoader,初始化PathClassLoader
284,dalvik.system.DexClassLoader#DexClassLoader,初始化DexClassLoader
285,dalvik.system.DexFile#DexFile,初始化DexFile对象
286,dalvik.system.InMemoryDexClassLoader#InMemoryDexClassLoader,初始化内存Dex加载器
287,android.app.Activity#setShowWhenLocked,设置锁屏时显示Activity
288,android.app.Service#onStartCommand,服务启动时回调
289,android.content.ContextWrapper#sendBroadcast,发送广播（重复）
290,android.content.ContextWrapper#sendBroadcastAsUser,以指定用户身份发送广播
291,android.content.ContextWrapper#sendOrderedBroadcast,发送有序广播
292,android.content.ContextWrapper#sendOrderedBroadcastAsUser,以指定用户发送有序广播
293,android.hardware.camera2.CameraManager#openCamera,打开摄像头（新版API）
294,android.location.LocationManager#registerGnssStatusCallback,注册GNSS状态监听
295,android.net.ConnectivityManager.NetworkCallback#NetworkCallback,网络状态回调基类
296,android.net.ConnectivityManager#registerDefaultNetworkCallback,注册默认网络回调
297,android.net.ConnectivityManager#registerNetworkCallback,注册网络回调
298,android.net.SSLCertificateSocketFactory#getDefault,获取默认SSL套接字工厂
299,android.content.ContentResolver#insert,插入数据（重复）
300,android.content.ContentResolver#query,查询数据（重复）
301,android.provider.VoicemailContract.Voicemails#buildSourceUri,构建语音邮件源URI
302,android.telephony.TelephonyManager#getAllCellInfo,获取所有蜂窝网络信息（重复）
303,android.telephony.TelephonyManager#getImei,获取设备IMEI
304,android.telephony.TelephonyManager#getMeid,获取设备MEID
305,android.webkit.CookieManager#removeAllCookies,删除所有Cookies
306,dalvik.system.PathClassLoader#PathClassLoader,初始化PathClassLoader（重复）
307,org.apache.http.params.HttpConnectionParams#setStaleCheckingEnabled,设置陈旧连接检查（旧版API）
308,java.net.URL#openConnection,创建URL连接（重复）
309,org.apache.http.params.HttpParams#setIntParameter,设置HTTP参数（旧版API）
310,java.net.URLConnection#setConnectTimeout,设置连接超时时间
311,java.net.URLConnection#setReadTimeout,设置读取超时时间
